Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,46641.7214017087
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,535865804349.803
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,59592.9806886454
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,346498737961.635
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,19143.8876174584
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,205252760889.364
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,29581.5185513299
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1394320055129.41
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,48629.8582283032
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,268514916972.549
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,40494.8982936276
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,2728870246705.88
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,80848.3019020489
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,398933010007.356
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,33673.7509627421
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2011302198827.45
Luxembourg,LUX,GDP per capita (current US$),NY.GDP.PCAP.CD,112726.439672814
Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,69890505323.5842
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,52476.2732533327
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,910194347568.626
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,50067.5857265892
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,444596155845.254
Portugal,PRT,GDP per capita (current US$),NY.GDP.PCAP.CD,23330.817288932
Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,239986922638.902
Sweden,SWE,GDP per capita (current US$),NY.GDP.PCAP.CD,51939.4297445291
Sweden,SWE,GDP (current US$),NY.GDP.MKTP.CD,533879529188.454
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,46805.1384334439
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,3889177589254.9
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,42662.5353740311
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,2851407164907.81
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,9874.33632625168
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,68881010245.5498
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,29420
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,25947027570.4262
Czechia,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,23664.8478631108
Czechia,CZE,GDP (current US$),NY.GDP.MKTP.CD,252548179964.897
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,23424.4847073518
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,31081901909.2156
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,16786.2136399075
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,164020460331.659
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,17883.3494113217
Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,34225547537.0745
Lithuania,LTU,GDP per capita (current US$),NY.GDP.PCAP.CD,19615.5491450175
Lithuania,LTU,GDP (current US$),NY.GDP.MKTP.CD,54808531641.4117
Malta,MLT,GDP per capita (current US$),NY.GDP.PCAP.CD,31727.0070746362
Malta,MLT,GDP (current US$),NY.GDP.MKTP.CD,15992378640.0553
Poland,POL,GDP per capita (current US$),NY.GDP.PCAP.CD,15700.0135796738
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,596058473058.766
Romania,ROU,GDP per capita (current US$),NY.GDP.PCAP.CD,12957.9991142218
Romania,ROU,GDP (current US$),NY.GDP.MKTP.CD,251017797625.017
Slovak Republic,SVK,GDP per capita (current US$),NY.GDP.PCAP.CD,19381.8905468746
Slovak Republic,SVK,GDP (current US$),NY.GDP.MKTP.CD,105711680180.565
Slovenia,SVN,GDP per capita (current US$),NY.GDP.PCAP.CD,26042.4463468032
Slovenia,SVN,GDP (current US$),NY.GDP.MKTP.CD,54386654313.9685
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,15120.9029026824
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,61470295887.8384
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 02/21/2024,,,,
